,song_name,main_artist,artist_count,released_year,released_month,released_day,streams,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
192,titi me preguntï¿,bad bunny,1,2022,5,6,1264310836,107,Minor,65,19,72,10,0,13,25
193,better than revenge,taylor swift,1,2023,7,7,30343206,146,Minor,50,67,89,0,0,19,8
194,shut up my moms calling,hotel ugly,1,2020,2,10,405136812,139,Minor,48,37,41,32,0,10,10
195,have you ever seen the rain?,creedence clearwater revival,1,1968,7,1,1145727611,116,Major,74,76,70,7,0,13,3
196,es un secreto,plan b,1,2010,7,20,540654286,95,Minor,84,52,77,12,0,7,4
197,polaris - remix,feid,4,2023,6,8,57312735,170,Minor,62,55,80,15,0,37,7
198,ditto,newjeans,1,2022,12,19,397582059,134,Minor,81,18,64,3,0,10,11
199,take on me,a-ha,1,1984,10,19,1479115056,84,Minor,57,86,90,2,0,9,5
200,annihilate,swae lee,4,2023,6,2,86773632,146,Minor,61,20,48,21,0,12,6
201,angel pt 1,kodak black,5,2023,5,1,133753727,74,Minor,53,24,67,11,0,10,28
202,acrï¿½ï¿½s,shakira,1,2023,5,11,123124076,144,Major,75,35,48,84,0,10,12
203,amg,natanael cano,3,2022,11,24,463564958,136,Minor,77,79,73,15,0,27,10
204,phir aur kya chahiye,arijit singh,3,2023,5,15,64533040,100,Major,56,53,55,53,0,12,4
205,s-class,stray kids,1,2023,6,2,65496046,105,Minor,89,67,78,9,0,7,33
206,hits different,taylor swift,1,2023,5,26,68616963,106,Major,67,24,78,15,0,30,4
207,chanel,becky g,2,2023,3,30,161460990,132,Major,85,53,68,40,0,9,4
208,self love,metro boomin,2,2023,6,2,70106975,120,Major,78,5,30,21,0,13,5
209,area codes,kaliii,2,2023,3,17,113509496,155,Major,82,51,39,2,0,9,49
210,abcdario,junior h,2,2023,5,13,89933133,129,Major,70,42,43,78,0,11,3
211,obsessed,abhijay sharma,2,2022,9,29,71007139,135,Minor,80,85,74,62,0,8,9
212,piï¿½ï¿½man deï¿,semicenk,2,2023,6,2,43522589,98,Minor,73,45,62,28,0,13,13
213,flower,jisoo,1,2023,3,31,232896922,124,Minor,84,64,39,3,0,11,4
214,all the way live,future,3,2023,6,2,37126685,135,Minor,77,28,55,18,0,22,15
215,eyes closed,ed sheeran,1,2023,3,23,195576623,107,Major,78,39,53,30,0,11,6
216,escapism.,raye,2,2022,10,12,532336353,96,Major,54,25,74,14,0,9,11
217,la jumpa,arcangel,2,2022,11,30,538115192,123,Major,71,58,70,30,0,32,19
219,superhero,future,3,2022,12,2,401036314,117,Minor,72,45,59,14,0,20,21
220,las morras,blessd,2,2023,4,4,127026613,133,Minor,78,90,84,31,0,7,4
221,chorrito pa las animas,feid,1,2022,12,2,345031710,96,Minor,74,61,83,11,0,35,6
222,ch y la pizza,fuerza regida,2,2022,12,1,288101651,149,Major,66,85,60,40,0,14,13
223,snow on the beach,lana del rey,2,2023,5,26,60350538,110,Minor,66,32,40,81,0,11,3
224,players,coi leray,1,2022,11,30,335074782,105,Major,95,62,52,3,0,5,16
225,bite me,enhypen,1,2023,5,22,76767396,105,Major,80,69,78,28,0,11,14
226,stand by me,lil durk,2,2023,5,26,46065667,134,Major,76,61,58,6,0,16,3
227,normal,feid,1,2022,7,8,459276435,170,Minor,71,59,56,4,0,27,12
228,hummingbird,james blake,2,2023,6,2,39666245,81,Major,59,26,60,46,1,25,13
229,seu brilho sumiu - ao vivo,israel & rodolffo,2,2023,3,1,138517666,154,Major,63,75,92,31,0,91,5
230,bad habit,steve lacy,1,2022,6,29,822633917,169,Major,69,69,51,63,0,38,4
231,cuff it,beyoncï¿,1,2022,7,29,595900742,115,Major,78,64,69,4,0,7,14
232,lilith,halsey,2,2023,6,5,51985779,84,Minor,43,14,74,1,0,19,8
233,69,nicky jam,2,2023,5,18,57945987,93,Major,79,58,62,11,0,11,23
234,niï¿½ï¿½a bo,sean paul,2,2023,4,21,115010040,91,Major,82,47,62,10,0,10,15
235,search & rescue,drake,1,2023,4,7,175097833,142,Minor,82,54,44,6,0,33,7
236,america has a problem,kendrick lamar,2,2023,5,19,57089066,126,Major,78,20,70,1,0,16,4
237,lavender haze,taylor swift,1,2022,10,21,488386797,97,Major,73,10,44,26,0,16,8
238,link up,wizkid,5,2023,6,2,32761689,101,Major,92,59,51,41,51,26,8
239,efecto,bad bunny,1,2022,5,6,1047480053,98,Minor,80,23,48,14,0,6,5
240,erro gostoso - ao vivo,simone mendes,1,2023,1,27,153454328,154,Major,59,63,89,18,0,80,9
241,cupido,tini,1,2023,2,14,217672943,120,Major,91,63,58,52,0,31,22
242,just wanna rock,lil uzi vert,1,2022,10,17,457184829,150,Major,49,4,55,7,0,6,3
243,unstoppable,sia,1,2016,1,21,939844851,174,Major,47,27,78,11,0,10,8
244,until i found you,stephen sanchez,1,2021,9,1,726434358,202,Major,34,25,51,69,0,18,4
245,rich flex,drake,2,2022,11,4,573633020,153,Minor,56,42,52,5,0,36,24
246,easy on me,adele,1,2021,10,14,1406111294,142,Major,60,13,37,58,0,13,3
247,cartï¿½ï¿½o b,mc caverinha,2,2023,5,11,71573339,108,Minor,84,55,47,26,0,20,64
248,danger,offset,2,2023,6,2,24975653,143,Major,83,25,69,4,0,23,12
249,oi balde - ao vivo,zï¿½ï¿½ neto & crist,1,2023,2,14,145458418,108,Major,67,55,67,60,0,80,5
250,the real slim shady,eminem,1,2000,1,1,1424589568,104,Minor,95,78,66,3,0,4,6
251,mercho,migrantes,3,2022,12,16,231332117,93,Minor,84,96,79,43,0,18,11
252,the color violet,tory lanez,1,2021,12,10,415932686,105,Minor,65,46,53,16,0,9,5
253,glimpse of us,joji,1,2022,6,10,988515741,170,Major,44,27,32,89,0,14,5
254,mejor que yo,mambo kingz,3,2023,5,4,50847624,178,Minor,62,56,66,18,0,12,5
255,curtains,ed sheeran,1,2023,5,5,39893489,176,Minor,50,44,76,10,0,32,5
256,unforgiven,nile rodgers,2,2023,5,1,92035115,104,Minor,80,38,88,11,0,11,5
257,haegeum,agust d,1,2023,4,21,118810253,85,Major,70,83,84,31,0,47,30
258,conexï¿½ï¿½es de mï¿½ï¿½fia,rich the kid,2,2023,4,30,77233241,117,Minor,77,69,58,39,0,26,5
259,mientras me curo del cora,karol g,1,2023,2,24,206399629,80,Major,52,57,48,86,0,15,39
260,never felt so alone,labrinth,1,2023,4,7,117747907,98,Major,44,36,41,50,0,38,5
261,x si volvemos,karol g,2,2023,2,2,266624541,178,Minor,79,58,78,34,0,11,25
262,ceilings,lizzy mcalpine,1,2022,4,8,293186992,148,Major,51,27,33,48,0,22,3
263,cupid,fifty fifty,1,2023,2,24,139681964,120,Major,77,94,66,65,0,38,3
264,i am,ive,1,2023,4,10,123132751,122,Minor,68,38,88,1,0,8,5
265,cupid ï¿½ï¿½ï¿½ twin ver.,sped up 8282,1,1997,1,1,103762518,144,Major,74,75,73,42,0,9,4
266,shorty party,cartel de santa,2,2023,3,4,162887075,96,Major,93,47,47,33,0,10,36
267,super,seventeen,1,2023,4,24,91221625,137,Major,77,35,88,16,0,17,9
268,slut me out,nle choppa,1,2022,4,22,190490915,121,Minor,94,71,61,12,0,53,42
269,double fantasy,the weeknd,2,2023,4,21,96180277,119,Minor,60,10,57,1,0,50,3
270,all of the girls you loved before,taylor swift,1,2019,8,23,185240616,96,Major,72,40,47,71,0,13,4
271,provenza,karol g,1,2022,4,21,885093467,111,Major,87,53,52,66,1,11,5
272,princess diana,nicki minaj,2,2023,4,14,104992946,148,Major,90,74,68,14,0,10,19
273,di que si,grupo marca registrada,2,2023,2,3,147290338,182,Major,57,80,59,8,0,6,5
274,shivers,ed sheeran,1,2021,9,9,1302184087,141,Major,79,82,86,28,0,4,9
275,igualito a mi apï¿,fuerza regida,2,2022,12,30,158950978,145,Minor,76,80,81,19,0,6,9
276,shoong!,taeyang,2,2023,4,25,76910644,110,Minor,76,26,70,1,0,41,6
277,komang,raim laode,1,2022,8,16,137123880,134,Major,70,35,41,41,0,10,3
278,despechï¿,rosalï¿½,1,2022,7,28,782369383,130,Major,92,78,62,18,0,6,10
279,made you look,meghan trainor,1,2022,10,21,502574952,145,Major,84,88,53,35,0,8,7
280,watch this - arizonatears pluggnb remix,sped up nightcore,3,2023,2,5,207033255,130,Minor,69,36,90,1,10,15,4
281,no se va,grupo frontera,1,2022,4,28,404887295,173,Major,59,69,53,12,0,23,3
282,punto g,quevedo,1,2022,11,4,381161027,92,Minor,75,55,76,25,0,10,15
283,lovers rock,tv girl,1,2014,6,5,466231982,105,Minor,56,57,87,0,1,10,4
284,metamorphosis,interworld,1,2021,11,25,357580552,175,Minor,59,15,64,43,90,12,10
285,mami chula,quevedo,2,2023,4,27,61105704,120,Minor,80,33,70,22,0,9,4
286,en paris,el chachito,2,2022,12,24,198275403,139,Minor,70,77,48,37,0,12,5
287,set me free pt.2,jimin,1,2023,3,17,168448603,132,Minor,59,56,82,12,0,12,6
288,i was never there,the weeknd,2,2018,3,29,705469769,114,Major,32,17,74,14,0,17,3
289,don't ever say love me,rm,2,2023,5,4,34502215,145,Minor,54,19,48,36,0,37,5
290,shut down,blackpink,1,2022,9,16,482175240,110,Major,82,67,69,0,0,18,4
291,gato de noche,nengo flow,2,2022,12,22,304118600,94,Major,89,61,66,17,0,36,16
292,call out my name,the weeknd,1,2018,3,29,1449799467,134,Major,45,17,60,21,0,33,4
294,rosa pastel,jasiel nuï¿½ï¿½ez,2,2023,2,2,90025258,123,Minor,70,86,68,24,0,11,4
295,sunroof,nicky youre,2,2021,12,3,652704649,131,Major,77,84,71,35,0,15,4
296,lose yourself - soundtrack version,eminem,1,2002,1,1,1829992958,171,Major,70,6,73,1,0,36,26
