,track_id,artist_id,track_title,artists,popularity
102,0izPpjfwsu2DuzWGqsABkT,0jPHHnU8GUWEF7rwPE9osY,kehlani,jordan adetunji,73
103,7iabz12vAuVQYyekFIWJxD,5H4yInM5zmHqpKIoMNAx4r,band4band,central cee,90
104,3dj4wgM3cPeuLwMNHDuBon,33qOK5uJ8AR2xuQQAhHump,the door,teddy swims,85
105,59xD5osEFsaNt5PXfIKUnX,6M2wZ9GZgrQXHCFfjv46we,illusion,dua lipa,77
107,6jlG8gBPNAgBgoivw2Ig09,1WaFQSHVGZQJTbf0BdxdNo,devil is a lie,tommy richman,88
111,6NjWCIYu1W8xa3HIvcIhd4,0NIIxcxNHmOoyBx03SfTCD,nasty,tinashe,85
112,3c9EsIo34kil8Oj1reaozB,40ZNYROS4zLfyyBSs2PGe2,american nights,zach bryan,80
113,28drn6tQo95MRvO0jQEo5C,1RyvyyTE3xzB2ZywiAwp0i,type shit,future,87
114,0Lmbke3KNVFXtoH2mMSHCw,66CXWjxzNUsdJxJ2JdwvnR,the boy is mine,ariana grande,86
116,7FKAVg9SA7QYLxdVRLnKjd,19k8AgwwTSxeaxkOuCQEJs,chevrolet,jelly roll,73
117,0QpiyJbgWUjyAQNqjIA5tO,6icQOAFXDZKsumw3YXyusw,hate me,lil yachty,76
118,6w7OpHp3Y3ByHzmfQXYCRN,6tPHARSq45lQ8BSALCfkFC,hang tight honey,lainey wilson,69
119,2MjXWroB9wlTG2kqv3avfS,3DbwFQlvLxRSi2uX8mf81A,get it sexyy,sexyy red,77
120,5JRYVSZ6K2jY0kznYBmoqr,4sCKpwwEsgReZxjtKFm2A0,wind up missin' you,tucker wetmore,57
121,2GxrNKugF82CnoRFbQfzPf,0PCCGZ0wGLizHt2KZ7hhA2,i like the way you kiss me,artemas,92
122,7BRD7x5pt8Lqa1eGYC4dzj,6qqNVTkY8uBg9cP3Jd7DAH,chihiro,billie eilish,91
123,487JCvAXVblflZyDJn3fSp,1iwUuIOKYjV7SKIg27v4zi,help me,real boston richey,68
