Draw Date,WinningNumbers1,WinningNumbers2,WinningNumbers3,WinningNumbers4,WinningNumbers5,Mega Ball,Multiplier
4/1/22,26,42,47,48,63,21,5
3/29/22,07,22,36,45,47,12,2
3/25/22,03,13,42,51,58,17,2
3/22/22,08,15,21,27,61,8,3
3/18/22,02,06,25,40,45,5,4
3/15/22,09,14,28,59,60,24,5
3/11/22,24,28,39,44,66,25,3
3/8/22,07,18,38,58,64,24,3
3/4/22,11,19,28,46,47,5,4
3/1/22,18,22,38,39,50,18,2
2/25/22,15,31,40,56,66,4,3
2/22/22,06,17,22,57,62,3,3
2/18/22,06,11,50,63,68,17,4
2/15/22,02,04,15,21,63,19,3
2/11/22,11,16,23,24,30,24,3
2/8/22,01,17,20,52,54,2,3
2/4/22,07,16,34,44,61,24,4
2/1/22,11,24,38,62,66,1,4
1/28/22,03,16,25,44,55,13,3
1/25/22,03,12,38,53,58,13,3
1/21/22,38,45,46,55,67,18,2
1/18/22,04,19,39,42,52,9,4
1/14/22,05,08,13,22,48,25,2
1/11/22,02,03,19,52,58,16,2
1/7/22,07,29,43,56,57,6,3
1/4/22,04,06,16,21,22,1,3
12/31/21,02,05,30,46,61,8,3
12/28/21,03,05,08,31,38,4,3
12/24/21,16,17,25,36,37,16,2
12/21/21,25,31,58,64,67,24,3
12/17/21,21,32,38,48,62,10,3
12/14/21,33,35,44,55,69,20,3
12/10/21,23,25,40,42,60,8,2
12/7/21,01,07,40,43,68,1,2
12/3/21,22,45,48,58,61,13,5
11/30/21,07,08,26,30,39,17,2
11/26/21,07,27,37,42,59,2,2
11/23/21,07,24,54,57,58,6,3
11/19/21,05,23,52,53,59,18,5
11/16/21,06,22,44,53,65,3,3
11/12/21,30,32,42,46,48,15,2
11/9/21,09,14,16,26,49,14,3
11/5/21,10,15,20,66,68,18,2
11/2/21,05,10,26,58,65,9,2
10/29/21,15,26,28,35,45,4,3
10/26/21,06,14,19,56,62,9,4
10/22/21,09,14,26,29,66,22,3
10/19/21,03,12,13,19,52,1,3
10/15/21,03,20,31,34,65,18,3
10/12/21,21,26,56,61,65,4,3
10/8/21,21,24,36,40,70,22,5
10/5/21,07,11,18,30,36,4,3
10/1/21,21,25,36,62,63,6,2
9/28/21,18,30,43,68,69,22,4
9/24/21,17,21,27,43,56,15,3
9/21/21,36,41,45,51,56,13,3
9/17/21,17,32,40,59,61,18,3
9/14/21,04,13,19,63,64,16,2
9/10/21,20,32,35,47,64,18,2
9/7/21,15,17,25,32,53,12,3
9/3/21,07,10,12,61,65,3,2
8/31/21,08,14,31,58,68,15,3
8/27/21,01,10,44,47,56,23,3
8/24/21,17,18,26,52,67,19,2
8/20/21,41,43,51,57,70,1,2
8/17/21,03,06,16,38,56,24,3
8/13/21,17,21,35,40,53,11,2
8/10/21,29,45,50,59,62,12,2
8/6/21,09,18,40,46,69,9,2
8/3/21,01,09,17,27,34,24,2
7/30/21,19,26,31,52,68,10,3
7/27/21,02,35,36,54,64,11,3
7/23/21,13,17,19,40,69,17,3
7/20/21,10,26,30,52,57,10,2
7/16/21,24,25,47,52,57,24,4
7/13/21,03,10,17,26,55,24,2
